Variable,Value,AXIAL [m]
q_CO2_AD,5.233169,0
q_CO2_AD,5.2107043,0.005
q_CO2_AD,5.187704,0.01
q_CO2_AD,5.1617084,0.015
q_CO2_AD,5.1363797,0.02
q_CO2_AD,5.1092467,0.025
q_CO2_AD,5.0832686,0.03
q_CO2_AD,5.055093,0.035
q_CO2_AD,5.0279784,0.04
q_CO2_AD,4.998547,0.045
q_CO2_AD,4.9702463,0.05
q_CO2_AD,4.939584,0.055
q_CO2_AD,4.9101624,0.06
q_CO2_AD,4.8783665,0.065
q_CO2_AD,4.8479047,0.07
q_CO2_AD,4.815067,0.075
q_CO2_AD,4.7836604,0.08
q_CO2_AD,4.749883,0.085
q_CO2_AD,4.717624,0.09
q_CO2_AD,4.683015,0.095
q_CO2_AD,4.6500006,0.1
q_CO2_AD,4.614657,0.105
q_CO2_AD,4.580975,0.11
q_CO2_AD,4.5449944,0.115
q_CO2_AD,4.510734,0.12
q_CO2_AD,4.474213,0.125
q_CO2_AD,4.4394608,0.13
q_CO2_AD,4.4024925,0.135
q_CO2_AD,4.3673315,0.14
q_CO2_AD,4.330007,0.145
q_CO2_AD,4.2945194,0.15
q_CO2_AD,4.2569265,0.155
q_CO2_AD,4.2211895,0.16
q_CO2_AD,4.1834145,0.165
q_CO2_AD,4.1475034,0.17
q_CO2_AD,4.109627,0.175
q_CO2_AD,4.0736113,0.18
q_CO2_AD,4.0357103,0.185
q_CO2_AD,3.9996562,0.19
q_CO2_AD,3.9618015,0.195
q_CO2_AD,3.9257689,0.2
q_CO2_AD,3.888027,0.205
q_CO2_AD,3.8520691,0.21
q_CO2_AD,3.8144987,0.215
q_CO2_AD,3.7786644,0.22
q_CO2_AD,3.7413192,0.225
q_CO2_AD,3.7056491,0.23
q_CO2_AD,3.6685755,0.235
q_CO2_AD,3.6331062,0.24
q_CO2_AD,3.5963447,0.245
q_CO2_AD,3.561105,0.25
q_CO2_AD,3.5246897,0.255
q_CO2_AD,3.4897041,0.26
q_CO2_AD,3.4536636,0.265
q_CO2_AD,3.418949,0.27
q_CO2_AD,3.3833048,0.275
q_CO2_AD,3.3488755,0.28
q_CO2_AD,3.3136454,0.285
q_CO2_AD,3.2795076,0.29
q_CO2_AD,3.244702,0.295
q_CO2_AD,3.21086,0.3
q_CO2_AD,3.1764874,0.305
q_CO2_AD,3.142938,0.31
q_CO2_AD,3.1089988,0.315
q_CO2_AD,3.0757372,0.32
q_CO2_AD,3.042233,0.325
q_CO2_AD,3.009249,0.33
q_CO2_AD,2.9761724,0.335
q_CO2_AD,2.943452,0.34
q_CO2_AD,2.9108002,0.345
q_CO2_AD,2.8783283,0.35
q_CO2_AD,2.8460922,0.355
q_CO2_AD,2.8138433,0.36
q_CO2_AD,2.7820184,0.365
q_CO2_AD,2.7499716,0.37
q_CO2_AD,2.718558,0.375
q_CO2_AD,2.6866777,0.38
q_CO2_AD,2.655675,0.385
q_CO2_AD,2.6239247,0.39
q_CO2_AD,2.5933528,0.395
q_CO2_AD,2.5616927,0.4
q_CO2_AD,2.5315742,0.405
q_CO2_AD,2.4999452,0.41
q_CO2_AD,2.4703174,0.415
q_CO2_AD,2.4386663,0.42
q_CO2_AD,2.4096036,0.425
q_CO2_AD,2.3778765,0.43
q_CO2_AD,2.3494644,0.435
q_CO2_AD,2.3175793,0.44
q_CO2_AD,2.289928,0.445
q_CO2_AD,2.2578137,0.45
q_CO2_AD,2.2311144,0.455
q_CO2_AD,2.1987321,0.46
q_CO2_AD,2.1733053,0.465
q_CO2_AD,2.1407526,0.47
q_CO2_AD,2.1172915,0.475
q_CO2_AD,2.0851243,0.48
q_CO2_AD,2.0648427,0.485
q_CO2_AD,2.0352564,0.49
q_CO2_AD,2.0167816,0.495
q_CO2_AD,2.0147402,0.5
q_CO2_BD,3.294867,0
q_CO2_BD,3.2935178,0.005
q_CO2_BD,3.2887075,0.01
q_CO2_BD,3.2842667,0.015
q_CO2_BD,3.278422,0.02
q_CO2_BD,3.2728024,0.025
q_CO2_BD,3.266383,0.03
q_CO2_BD,3.2599192,0.035
q_CO2_BD,3.2529569,0.04
q_CO2_BD,3.2458417,0.045
q_CO2_BD,3.238272,0.05
q_CO2_BD,3.2304807,0.055
q_CO2_BD,3.2224073,0.06
q_CO2_BD,3.214105,0.065
q_CO2_BD,3.205498,0.07
q_CO2_BD,3.1966484,0.075
q_CO2_BD,3.1875448,0.08
q_CO2_BD,3.1781769,0.085
q_CO2_BD,3.168582,0.09
q_CO2_BD,3.1587589,0.095
q_CO2_BD,3.1487226,0.1
