Time,Pressure
0,2200364.5
0,2200364.5
1,2200364.5
2,2200364.5
3,2200364.5
4,2200364.5
5,2200364.5
6,2200364.5
7,2200364.5
8,2200364.5
9,2200364.5
10,2200364.5
11,2200364.5
12,2200364.5
13,2200364.5
14,2200364.5
15,2200364.5
16,2200364.5
17,2200364.5
18,2200364.5
19,2200364.5
20,2200364.5
21,2200364.5
22,2200364.5
23,2200364.5
24,2200364.5
25,2200364.5
26,2200364.5
27,2200364.5
28,2200364.5
29,2200364.5
30,2200364.5
31,2200364.5
32,2200364.5
33,2200364.5
34,2200364.5
35,2200364.5
36,2200364.5
37,2200364.5
38,2200364.5
39,2200364.5
40,2200364.5
41,2200364.5
42,2200364.5
43,2200364.5
44,2200364.5
45,2200364.5
46,2200364.5
47,2200364.5
48,2200364.5
49,2200364.5
50,2200364.5
51,2200364.5
52,2200364.5
53,2200364.5
54,2200364.5
55,2200364.5
56,2200364.5
57,2200364.5
58,2200364.5
59,2200364.5
60,2200364.5
61,2200364.5
62,2200364.5
63,2200364.5
64,2200364.5
65,2200364.5
66,2200364.5
67,2200364.5
68,2200364.5
69,2200364.5
70,2200364.5
71,2200364.5
72,2200364.5
73,2200364.5
74,2200364.5
75,2200364.5
76,2200364.5
77,2200364.5
78,2200364.5
79,2200364.5
80,2200364.5
81,2200364.5
82,2200364.5
83,2200364.5
84,2200364.5
85,2200364.5
86,2200364.5
87,2200364.5
88,2200364.5
89,2200364.5
90,2200364.5
91,2200364.5
92,2200364.5
93,2200364.5
94,2200364.5
95,2200364.5
96,2200364.5
97,2200364.5
98,2200364.5
98,2200364.5
98,2200364.5
98,2200364.5
99,2088814
100,1984489.4
101,1886937
102,1795717.1
103,1710418
104,1630655.2
105,1556070.1
106,1486326.8
107,1421110.2
108,1360127.1
109,1303102.5
110,1249779.4
111,1199917.5
112,1153292.2
113,1109693.5
114,1068924.8
115,1030802.3
116,995154.3
117,961820.25
118,930649.94
119,901503
120,874247.94
121,848761.75
122,824929.75
123,802644.75
124,781806.06
125,762320.2
126,744099.25
127,727060.9
128,711128.6
129,696230.2
130,682298.94
131,669271.7
132,657090.25
133,645699.4
134,635047.94
135,625087.94
136,615774.44
137,607065.56
138,598921.94
139,591307.1
140,584186.9
141,577529.1
142,571303.6
143,565482.5
144,560039.06
145,554949
146,550189.1
147,545738.2
148,541576
149,537683.94
150,534044.56
151,530641.44
152,527459.3
153,524483.75
154,521701.44
155,519099.75
156,516666.9
157,514392.03
158,512264.72
159,510275.53
160,508415.44
161,506676.03
162,505049.56
163,503528.66
164,502106.5
165,500776.66
166,499533.12
167,498370.38
168,497283.06
169,496266.34
170,495315.62
171,494426.56
172,493595.28
173,492817.9
174,492091
175,491411.28
176,490775.7
177,490181.34
178,489625.6
179,489105.9
180,488619.97
181,488165.56
182,487740.66
183,487343.34
184,486971.8
185,486624.4
186,486299.53
187,485995.75
188,485711.7
189,485446.06
190,485197.7
191,484965.44
192,484748.25
193,484545.16
194,484355.25
195,484177.7
196,484011.66
197,483856.38
198,483711.2
199,483575.4
200,483448.47
201,483329.75
202,483218.75
203,483114.94
204,483017.88
205,482927.12
206,482842.25
207,482762.88
208,482688.7
209,482619.28
210,482554.4
211,482493.72
212,482436.97
213,482383.94
214,482334.3
215,482287.9
216,482244.53
217,482203.97
218,482166.03
219,482130.56
220,482097.4
221,482066.4
222,482037.4
223,482010.28
224,481984.9
225,481961.22
226,481939.03
227,481918.3
228,481898.9
229,481880.78
230,481863.84
231,481847.97
232,481833.16
233,481819.3
234,481806.34
235,481794.22
236,481782.88
237,481772.28
238,481762.38
239,481753.12
240,481744.44
241,481736.34
242,481728.78
243,481721.7
244,481715.06
245,481708.88
246,481703.06
247,481697.66
247,481697.66
247,481697.66
247,481697.66
248,367207.5
249,287095.53
250,231043.1
251,191824.52
252,164384.23
253,145184.81
254,131750.89
255,122351.305
256,115774.234
257,111172.42
258,107953.22
259,105701.266
260,104125.3
261,103022.8
262,102251.44
263,101711.67
264,101334.05
265,101069.83
266,100884.95
267,100755.61
268,100665.11
269,100601.79
270,100557.484
271,100526.49
272,100504.8
273,100489.625
274,100479.01
275,100471.58
275,100471.58
275,100471.58
275,100471.58
276,88133.414
277,77698.35
278,68872.766
279,61408.336
280,55095.137
281,49755.6
282,45239.562
283,41420.137
284,38189.793
285,35457.664
286,33146.89
287,31192.365
288,29539.16
289,28141
290,26958.459
291,25958.273
292,25112.33
293,24396.842
294,23791.68
295,23279.842
296,22846.95
297,22480.812
298,22171.166
299,21909.316
300,21687.875
301,21500.574
302,21342.14
303,21208.137
304,21094.807
305,20998.967
306,20917.908
307,20849.346
308,20791.355
309,20742.309
310,20700.828
311,20665.746
312,20636.074
313,20610.979
314,20589.752
315,20571.799
316,20556.615
317,20543.773
318,20532.914
319,20523.727
320,20515.957
321,20509.387
322,20503.828
323,20499.129
324,20495.152
325,20491.791
326,20488.947
327,20486.541
328,20484.508
329,20482.787
330,20481.332
331,20480.1
332,20479.059
333,20478.18
334,20477.434
335,20476.805
336,20476.271
337,20475.822
338,20475.441
339,20475.12
340,20474.846
341,20474.615
342,20474.42
343,20474.256
344,20474.115
345,20473.998
346,20473.898
347,20473.814
348,20473.742
349,20473.682
350,20473.63
351,20473.588
352,20473.55
353,20473.521
354,20473.494
355,20473.473
356,20473.453
357,20473.438
358,20473.424
359,20473.414
360,20473.404
361,20473.396
362,20473.389
363,20473.383
364,20473.379
365,20473.373
366,20473.371
367,20473.367
368,20473.365
369,20473.363
370,20473.361
371,20473.36
372,20473.36
373,20473.357
374,20473.355
375,20473.355
376,20473.355
377,20473.354
378,20473.354
379,20473.354
380,20473.354
381,20473.354
382,20473.354
383,20473.352
384,20473.352
385,20473.352
386,20473.352
387,20473.352
388,20473.352
389,20473.352
390,20473.352
391,20473.352
392,20473.352
393,20473.352
394,20473.352
395,20473.352
396,20473.352
397,20473.352
398,20473.352
399,20473.352
400,20473.352
401,20473.352
402,20473.352
403,20473.352
404,20473.352
405,20473.352
406,20473.352
407,20473.352
408,20473.352
409,20473.352
410,20473.352
411,20473.352
412,20473.352
413,20473.352
414,20473.352
415,20473.352
416,20473.352
417,20473.352
418,20473.352
419,20473.352
420,20473.352
421,20473.352
422,20473.352
423,20473.352
424,20473.352
425,20473.352
426,20473.352
427,20473.352
428,20473.352
429,20473.352
430,20473.352
431,20473.352
432,20473.352
433,20473.352
434,20473.352
435,20473.352
436,20473.352
437,20473.352
438,20473.352
439,20473.352
440,20473.352
441,20473.352
442,20473.352
443,20473.352
444,20473.352
445,20473.352
446,20473.352
447,20473.352
448,20473.352
449,20473.352
450,20473.352
451,20473.352
452,20473.352
453,20473.352
454,20473.352
455,20473.352
456,20473.352
457,20473.352
458,20473.352
459,20473.352
460,20473.352
461,20473.352
462,20473.352
463,20473.352
464,20473.352
465,20473.352
466,20473.352
467,20473.352
468,20473.352
469,20473.352
470,20473.352
471,20473.352
472,20473.352
473,20473.352
474,20473.352
474,20473.352
474,20473.352
474,20473.352
475,878236.5
476,1398496.1
477,1714049.6
478,1905442.4
479,2021528
480,2091933.8
481,2134628
482,2160537.5
483,2176250
484,2185781.2
485,2191562
486,2195067
487,2197193
488,2198482.2
489,2199264.2
490,2199738.8
491,2200026.5
492,2200201
493,2200306.8
494,2200371
494,2200371
494,2200371
494,2200371
494,2200371
