Time,H2,CO2
0,0.16504623,0.002482462
0,0.16504623,0.002482462
1,0.1616864,0.005887141
2,0.15959,0.007970167
3,0.15830085,0.009181419
4,0.15739882,0.00995611
5,0.15666178,0.010537279
6,0.15599722,0.01103402
7,0.15537064,0.011490216
8,0.15476885,0.01192319
9,0.15418665,0.012340042
10,0.15362121,0.012744835
11,0.15306976,0.013140919
12,0.15252975,0.013530746
13,0.15199952,0.013915551
14,0.15147823,0.014295994
15,0.15096506,0.014672842
16,0.15045904,0.015046882
17,0.14995936,0.015418544
18,0.14946565,0.015787926
19,0.14897767,0.01615519
20,0.14849496,0.016520659
21,0.14801706,0.016884575
22,0.14754374,0.017246984
23,0.14707485,0.01760789
24,0.14661019,0.01796742
25,0.14614949,0.018325739
26,0.14569253,0.018682906
27,0.1452392,0.019038897
28,0.14478946,0.019393744
29,0.14434311,0.019747544
30,0.14389998,0.020100364
31,0.14346,0.020452194
32,0.14302313,0.02080302
33,0.14258927,0.021152884
34,0.14215834,0.021501841
35,0.14173025,0.021849891
36,0.14130497,0.022197004
37,0.1408825,0.022543179
38,0.14046279,0.02288844
39,0.14004576,0.023232782
40,0.13963148,0.023576168
41,0.13921992,0.023918554
42,0.13881114,0.024259921
43,0.13840514,0.02460024
44,0.13800198,0.02493945
45,0.13760173,0.025277471
46,0.1372045,0.025614232
47,0.13681038,0.025949657
48,0.1364195,0.026283644
49,0.13603203,0.026616074
50,0.13564816,0.026946811
51,0.13526808,0.02727572
52,0.13489202,0.027602656
53,0.13452022,0.027927443
54,0.13415298,0.028249893
55,0.1337906,0.028569818
56,0.1334334,0.028887024
57,0.1330817,0.029201303
58,0.13273588,0.02951244
59,0.13239627,0.029820226
60,0.13206324,0.03012446
61,0.13173716,0.030424943
62,0.13141835,0.030721491
63,0.13110715,0.031013934
64,0.13080385,0.031302128
65,0.13050874,0.03158595
66,0.13022202,0.03186531
67,0.1299439,0.032140132
68,0.12967452,0.032410387
69,0.12941398,0.032676056
70,0.12916228,0.03293718
71,0.12891947,0.033193782
72,0.12868543,0.033445958
73,0.1284601,0.03369378
74,0.1282433,0.033937372
75,0.12803484,0.034176856
76,0.12783451,0.034412354
77,0.12764204,0.03464404
78,0.12745716,0.03487201
79,0.1272795,0.035096478
80,0.12710884,0.0353175
81,0.12694475,0.035535306
82,0.12678695,0.03574995
83,0.12663506,0.03596161
84,0.12648873,0.036170393
85,0.12634768,0.03637637
86,0.12621146,0.036579717
87,0.12607989,0.036780413
88,0.12595251,0.036978673
89,0.12582916,0.03717443
90,0.12570944,0.037367865
91,0.12559316,0.037558954
92,0.12548006,0.03774777
93,0.12536985,0.037934396
94,0.12526242,0.03811877
95,0.12515745,0.03830106
96,0.1250549,0.038481146
97,0.12495448,0.038659185
98,0.12485614,0.0388351
98,0.12485614,0.0388351
98,0.12485614,0.0388351
98,0.12485618,0.038834937
99,0.11975349,0.035625458
100,0.11450654,0.033147242
101,0.1092443,0.031224815
102,0.1040592,0.029720161
103,0.099015474,0.028527549
104,0.09415503,0.027568217
105,0.08950337,0.026784295
106,0.08507541,0.026132021
107,0.08087747,0.0255793
108,0.0769095,0.02510307
109,0.07316748,0.024686394
110,0.06964489,0.024316683
111,0.06633331,0.023984788
112,0.06322332,0.023683952
113,0.060304966,0.023409108
114,0.057568174,0.023156386
115,0.05500287,0.022922855
116,0.052599177,0.02270627
117,0.050347537,0.022504855
118,0.04823877,0.022317208
119,0.04626413,0.02214214
120,0.044415325,0.021978648
121,0.042684484,0.021825884
122,0.041064173,0.021683125
123,0.039547395,0.021549754
124,0.038127556,0.021425169
125,0.036798477,0.021308867
126,0.03555436,0.021200346
127,0.03438974,0.02109915
128,0.03329954,0.021004856
129,0.032278948,0.020917056
130,0.03132351,0.020835381
131,0.030429022,0.020759469
132,0.029591575,0.020688986
133,0.028807485,0.020623613
134,0.028073326,0.020563042
135,0.027385883,0.020506982
136,0.026742144,0.02045516
137,0.026139313,0.02040731
138,0.025574742,0.020363184
139,0.025045991,0.020322546
140,0.024550768,0.020285176
141,0.024086913,0.02025086
142,0.023652406,0.0202194
143,0.023245372,0.020190606
144,0.022864018,0.0201643
145,0.022506716,0.020140313
146,0.022171905,0.020118488
147,0.021858152,0.020098679
148,0.02156411,0.020080743
149,0.021288516,0.020064555
150,0.021030195,0.020049987
151,0.020788047,0.02003693
152,0.020561036,0.020025274
153,0.02034819,0.020014917
154,0.02014861,0.02000577
155,0.019961445,0.01999774
156,0.019785898,0.019990746
157,0.01962123,0.019984713
158,0.019466743,0.019979566
159,0.019321788,0.019975241
160,0.01918576,0.019971676
161,0.019058086,0.019968811
162,0.018938238,0.019966595
163,0.018825715,0.019964974
164,0.018720055,0.019963905
165,0.01862082,0.01996334
