Time,H2,CO2
0,0.08766136,0.07868027
0,0.08766136,0.07868027
1,0.08598299,0.079759404
2,0.0828033,0.08228248
3,0.0796363,0.08569035
4,0.07705386,0.08955211
5,0.075090654,0.093618274
6,0.0735832,0.09777485
7,0.07236224,0.10197671
8,0.07131054,0.106205784
9,0.07035904,0.110453255
10,0.06946977,0.114713736
11,0.06862172,0.11898381
12,0.06780249,0.12326139
13,0.067004554,0.12754503
14,0.06622341,0.13183355
15,0.06545623,0.13612606
16,0.06470088,0.14042202
17,0.06395568,0.14472109
18,0.06321946,0.1490229
19,0.062491424,0.15332717
20,0.061770897,0.15763362
21,0.06105721,0.16194214
22,0.06034982,0.16625261
23,0.059648354,0.17056486
24,0.05895251,0.17487873
25,0.058261964,0.17919412
26,0.0575764,0.18351096
27,0.0568956,0.18782912
28,0.056219403,0.19214846
29,0.055547666,0.19646886
30,0.054880206,0.20079023
31,0.054216895,0.20511241
32,0.053557668,0.20943528
33,0.05290247,0.21375865
34,0.052251246,0.21808234
35,0.051603943,0.2224062
36,0.050960563,0.22672999
37,0.05032115,0.23105344
38,0.04968575,0.23537631
39,0.049054414,0.2396983
40,0.04842724,0.24401906
41,0.047804363,0.2483382
42,0.047185957,0.25265527
43,0.04657221,0.25696975
44,0.045963343,0.26128116
45,0.045359645,0.26558882
46,0.044761438,0.26989207
47,0.044169087,0.27419007
48,0.043582987,0.278482
49,0.043003604,0.28276688
50,0.042431448,0.28704363
51,0.04186707,0.2913111
52,0.041311063,0.29556796
53,0.040764064,0.29981288
54,0.04022674,0.30404434
55,0.039699785,0.30826077
56,0.039183903,0.31246048
57,0.038679805,0.3166417
58,0.038188178,0.32080263
59,0.037709694,0.3249414
60,0.03724497,0.3290561
61,0.036794566,0.33314493
62,0.03635896,0.337206
63,0.03593855,0.34123752
64,0.03553363,0.34523785
65,0.035144392,0.34920537
66,0.034770906,0.3531387
67,0.034413144,0.35703653
68,0.03407096,0.36089778
69,0.033744115,0.36472157
70,0.033432268,0.36850715
71,0.033135,0.372254
72,0.032851834,0.37596184
73,0.03258222,0.37963045
74,0.03232557,0.38325986
75,0.03208127,0.38685024
76,0.031848677,0.39040193
77,0.031627152,0.3939153
78,0.031416044,0.39739087
79,0.031214712,0.40082926
80,0.031022534,0.40423113
81,0.030838901,0.40759715
82,0.030663237,0.41092813
83,0.030494979,0.41422474
84,0.030333608,0.41748774
85,0.03017862,0.4207179
86,0.030029556,0.4239159
87,0.029885972,0.42708245
88,0.029747471,0.43021816
89,0.02961368,0.43332368
90,0.029484248,0.43639958
91,0.029358868,0.43944636
92,0.02923724,0.44246453
93,0.029119115,0.4454545
94,0.029004242,0.44841668
95,0.028892413,0.4513514
96,0.028783431,0.45425898
97,0.028677119,0.4571397
98,0.028573327,0.45999378
98,0.028573327,0.45999378
98,0.028573327,0.45999378
98,0.028573327,0.45999378
99,0.02858477,0.46241957
100,0.028606785,0.46413165
101,0.028472535,0.46528155
102,0.028138155,0.4659989
103,0.027617844,0.46638906
104,0.02695012,0.46653444
105,0.026176898,0.46649784
106,0.025334006,0.4663278
107,0.024451617,0.46606106
108,0.023553777,0.46572474
109,0.022658136,0.46533918
110,0.02177722,0.46491972
111,0.020919612,0.46447763
112,0.020091025,0.46402135
113,0.019295033,0.4635572
114,0.018533668,0.4630901
115,0.0178078,0.4626236
116,0.01711749,0.4621605
117,0.016462274,0.46170288
118,0.01584131,0.46125236
119,0.015253563,0.46081024
120,0.014697856,0.46037757
121,0.014172897,0.4599551
122,0.013677334,0.45954347
123,0.013209776,0.45914307
124,0.012768905,0.4587543
125,0.012353366,0.45837745
126,0.011961891,0.45801264
127,0.011593235,0.45766008
128,0.01124619,0.45731974
129,0.0109196,0.4569917
130,0.010612351,0.45667592
131,0.010323379,0.45637226
132,0.010051669,0.45608062
133,0.009796255,0.4558008
134,0.009556218,0.4555327
135,0.009330686,0.455276
136,0.009118829,0.45503053
137,0.008919861,0.454796
138,0.008733037,0.45457208
139,0.008557649,0.45435855
140,0.008393033,0.45415506
141,0.008238554,0.45396128
142,0.008093613,0.45377687
143,0.007957646,0.45360154
144,0.007830114,0.45343488
145,0.007710513,0.45327663
146,0.007598362,0.4531264
147,0.007493215,0.45298386
148,0.007394644,0.45284867
149,0.007302252,0.45272052
150,0.007215664,0.45259908
151,0.007134525,0.452484
152,0.007058502,0.45237502
153,0.006987283,0.45227182
154,0.00692057,0.45217413
155,0.006858084,0.45208162
156,0.006799564,0.45199406
157,0.006744762,0.45191118
158,0.006693445,0.45183274
159,0.006645396,0.45175847
160,0.00660041,0.4516882
161,0.006558294,0.45162165
162,0.00651887,0.45155865
163,0.006481967,0.45149902
164,0.006447427,0.45144248
165,0.006415101,0.45138896
166,0.006384848,0.45133823
167,0.006356538,0.45129013
168,0.006330046,0.45124453
169,0.006305256,0.4512013
170,0.00628206,0.45116025
171,0.006260356,0.45112133
172,0.00624005,0.45108435
173,0.006221051,0.4510492
174,0.006203276,0.4510158
175,0.006186646,0.45098406
176,0.006171089,0.45095384
177,0.006156535,0.45092508
178,0.006142919,0.45089772
179,0.006130182,0.45087162
180,0.006118266,0.45084676
181,0.006107119,0.45082304
182,0.00609669,0.4508004
183,0.006086935,0.45077878
184,0.006077808,0.45075813
185,0.006069269,0.45073837
186,0.00606128,0.45071948
187,0.006053806,0.45070142
188,0.006046813,0.4506841
189,0.00604027,0.4506675
190,0.006034147,0.4506516
191,0.006028418,0.4506363
192,0.006023055,0.45062166
193,0.006018037,0.45060757
194,0.00601334,0.45059404
195,0.006008943,0.450581
196,0.006004827,0.4505685
197,0.006000972,0.45055643
198,0.005997364,0.4505448
199,0.005993984,0.4505336
200,0.005990819,0.4505228
201,0.005987853,0.45051238
202,0.005985075,0.4505023
203,0.005982471,0.4504926
204,0.005980031,0.4504832
205,0.005977742,0.4504741
206,0.005975597,0.4504653
207,0.005973585,0.4504568
208,0.005971696,0.45044854
209,0.005969924,0.45044056
210,0.005968261,0.45043284
211,0.005966699,0.45042533
212,0.005965232,0.45041806
213,0.005963853,0.45041096
214,0.005962556,0.4504041
215,0.005961337,0.45039746
216,0.00596019,0.450391
217,0.00595911,0.4503847
218,0.005958093,0.45037857
219,0.005957135,0.45037264
220,0.005956231,0.45036685
221,0.005955379,0.45036122
222,0.005954574,0.45035574
223,0.005953814,0.4503504
224,0.005953096,0.45034522
225,0.005952417,0.45034015
226,0.005951774,0.45033523
227,0.005951165,0.4503304
228,0.005950588,0.45032573
229,0.005950041,0.45032117
230,0.005949521,0.45031673
231,0.005949027,0.45031238
232,0.005948557,0.45030814
233,0.00594811,0.45030403
234,0.005947684,0.45029998
235,0.005947277,0.45029604
236,0.005946889,0.45029223
237,0.005946518,0.45028847
238,0.005946163,0.4502848
239,0.005945824,0.45028123
240,0.005945498,0.45027775
241,0.005945186,0.45027435
242,0.005944885,0.45027104
243,0.005944597,0.4502678
244,0.005944319,0.4502646
245,0.005944051,0.45026153
246,0.005943793,0.4502585
247,0.005943544,0.45025554
247,0.005943544,0.45025554
247,0.005943544,0.45025554
247,0.005943544,0.45025554
248,0.005895088,0.4486624
249,0.005560704,0.44472668
250,0.004888066,0.43963015
251,0.004061946,0.43406045
252,0.003259754,0.42833477
253,0.002568502,0.42262036
254,0.002010347,0.41702133
255,0.001575709,0.41160673
256,0.001243826,0.4064215
257,9.93E-04,0.40149245
258,8.03E-04,0.39683223
259,6.59E-04,0.3924431
260,5.49E-04,0.38831964
261,4.64E-04,0.3844513
262,3.98E-04,0.38082427
263,3.45E-04,0.37742293
264,3.04E-04,0.37423095
265,2.70E-04,0.371232
266,2.42E-04,0.36841023
267,2.19E-04,0.36575055
268,2.00E-04,0.36323893
269,1.84E-04,0.36086228
270,1.70E-04,0.3586087
271,1.58E-04,0.35646725
272,1.48E-04,0.354428
273,1.39E-04,0.352482
274,1.31E-04,0.3506211
275,1.24E-04,0.34883803
275,1.24E-04,0.34883803
275,1.24E-04,0.34883803
275,1.24E-04,0.34883803
276,1.17E-04,0.34661764
277,1.07E-04,0.343565
278,9.32E-05,0.33983696
279,7.70E-05,0.33556813
280,5.99E-05,0.33087015
281,4.40E-05,0.32583413
282,3.07E-05,0.32053587
283,2.06E-05,0.3150406
284,1.34E-05,0.30940554
285,8.49E-06,0.30368084
286,5.27E-06,0.29791018
287,3.22E-06,0.2921313
288,1.95E-06,0.28637615
289,1.16E-06,0.28067145
290,6.90E-07,0.27503946
291,4.07E-07,0.26949826
292,2.39E-07,0.26406232
293,1.40E-07,0.2587429
294,8.12E-08,0.25354853
295,4.71E-08,0.24848546
296,2.73E-08,0.24355783
297,1.59E-08,0.23876818
298,9.33E-09,0.23411758
299,5.67E-09,0.22960594
300,3.57E-09,0.22523226
301,2.23E-09,0.22099468
302,1.32E-09,0.21689078
303,7.66E-10,0.21291758
304,4.87E-10,0.20907174
305,3.51E-10,0.20534964
306,2.41E-10,0.20174752
307,1.42E-10,0.19826144
308,6.94E-11,0.19488741
309,3.44E-11,0.19162144
310,2.93E-11,0.18845952
311,3.00E-11,0.18539771
312,2.04E-11,0.18243216
313,7.97E-12,0.17955908
314,7.37E-13,0.17677484
315,1.55E-13,0.17407587
316,3.09E-12,0.17145877
317,4.34E-12,0.16892023
318,2.11E-12,0.16645712
319,-3.46E-13,0.16406639
320,-9.85E-13,0.16174518
321,-2.25E-13,0.15949069
322,7.57E-13,0.15730031
323,8.85E-13,0.15517153
324,1.77E-13,0.15310197
325,-3.19E-13,0.15108931
326,-2.57E-13,0.14913143
327,4.32E-14,0.14722624
328,2.02E-13,0.1453718
329,1.10E-13,0.14356624
330,-3.25E-14,0.14180776
331,-4.00E-14,0.14009471
332,-5.36E-14,0.13842547
333,-4.22E-14,0.1367985
334,5.89E-14,0.13521238
335,1.13E-13,0.13366568
336,3.57E-14,0.13215712
337,-1.52E-13,0.1306854
338,-1.12E-13,0.12924938
339,6.32E-14,0.12784785
340,1.72E-13,0.12647977
341,-5.39E-14,0.12514406
342,-1.01E-13,0.12383976
343,1.55E-13,0.12256588
344,2.82E-13,0.12132152
345,-4.47E-13,0.12010582
346,-6.01E-13,0.11891792
347,-3.66E-13,0.11775703
348,-2.45E-13,0.11662238
349,-2.90E-13,0.115513235
350,-4.17E-13,0.11442888
351,2.51E-14,0.11336863
352,4.16E-13,0.11233184
353,6.83E-13,0.111317866
354,3.96E-13,0.110326104
355,-1.44E-13,0.10935598
356,-6.10E-13,0.108406916
357,-8.13E-13,0.10747837
358,-2.61E-13,0.106569834
359,3.61E-13,0.105680786
360,6.75E-13,0.10481073
361,6.08E-13,0.10395921
362,1.35E-13,0.10312576
363,4.38E-13,0.10230994
364,9.16E-13,0.10151132
365,1.49E-12,0.10072949
366,2.37E-12,0.09996404
367,2.96E-12,0.09921458
368,2.85E-12,0.098480746
369,2.27E-12,0.09776216
370,8.09E-13,0.09705847
371,-9.96E-13,0.096369326
372,-2.28E-12,0.09569441
373,-2.39E-12,0.09503338
374,-1.31E-12,0.09438592
375,1.73E-12,0.093751736
376,4.90E-12,0.09313052
377,6.88E-12,0.09252198
378,8.42E-12,0.09192584
379,8.32E-12,0.091341816
380,4.30E-12,0.09076965
381,-1.11E-12,0.090209074
382,-5.71E-12,0.08965983
383,-8.17E-12,0.089121684
384,-8.47E-12,0.08859439
385,-6.32E-12,0.08807771
386,7.63E-13,0.087571405
387,1.04E-11,0.08707527
388,1.79E-11,0.086589076
389,2.04E-11,0.08611262
390,1.75E-11,0.08564568
391,1.27E-11,0.08518806
392,2.73E-12,0.08473957
393,-1.01E-11,0.08430001
394,-2.10E-11,0.0838692
395,-2.48E-11,0.08344694
396,-2.26E-11,0.08303306
397,-2.61E-11,0.08262739
398,-2.44E-11,0.082229756
399,-1.32E-11,0.08183998
400,-5.44E-12,0.08145791
401,1.17E-12,0.08108338
402,7.65E-12,0.080716245
403,1.32E-11,0.08035634
404,1.69E-11,0.080003515
405,1.78E-11,0.07965763
406,1.48E-11,0.079318546
407,1.10E-11,0.07898612
408,6.40E-12,0.07866021
409,1.31E-12,0.0783407
410,-4.33E-12,0.07802743
411,-8.16E-12,0.077720314
412,-1.06E-11,0.07741919
413,-1.01E-11,0.07712396
414,-1.13E-11,0.07683449
415,-1.24E-11,0.076550685
416,-1.15E-11,0.07627241
417,-7.77E-12,0.07599956
418,-5.53E-13,0.075732015
419,4.44E-12,0.07546971
420,8.52E-12,0.075212516
421,1.29E-11,0.07496032
422,1.74E-11,0.07471301
423,2.20E-11,0.074470475
424,2.51E-11,0.07423269
425,2.69E-11,0.07399953
426,2.73E-11,0.07377088
427,2.61E-11,0.07354663
428,2.30E-11,0.0733267
429,2.04E-11,0.073111065
430,1.73E-11,0.0728996
431,1.34E-11,0.072692215
432,8.84E-12,0.072488815
433,3.57E-12,0.07228931
434,-5.16E-13,0.07209372
435,-4.16E-12,0.07190191
436,-7.35E-12,0.07171378
437,-9.91E-12,0.07152927
438,-1.17E-11,0.07134828
439,-1.25E-11,0.07117074
440,-1.37E-11,0.07099669
441,-1.43E-11,0.07082599
442,-1.43E-11,0.07065855
443,-1.36E-11,0.07049432
444,-1.21E-11,0.070333205
445,-9.90E-12,0.070175156
446,-8.48E-12,0.070020206
447,-6.93E-12,0.06986822
448,-5.30E-12,0.06971914
449,-3.65E-12,0.0695729
450,-2.03E-12,0.069429435
451,-4.84E-13,0.06928869
452,9.64E-13,0.0691507
453,2.24E-12,0.06901534
454,3.29E-12,0.06888256
455,4.06E-12,0.068752296
456,4.51E-12,0.068624504
457,4.72E-12,0.06849914
458,5.08E-12,0.06837621
459,5.27E-12,0.068255626
460,5.28E-12,0.068137325
461,5.10E-12,0.06802127
462,4.73E-12,0.06790741
463,4.25E-12,0.06779571
464,3.80E-12,0.06768617
465,3.27E-12,0.06757871
466,2.67E-12,0.06747329
467,2.02E-12,0.06736986
468,1.32E-12,0.06726839
469,6.11E-13,0.06716884
470,-9.05E-14,0.0670712
471,-7.81E-13,0.066975415
472,-1.45E-12,0.06688143
473,-2.07E-12,0.06678923
474,-2.64E-12,0.06669876
474,-2.64E-12,0.06669876
474,-2.64E-12,0.06669876
474,-2.64E-12,0.06669876
475,0.010478842,0.06782717
476,0.028026838,0.07029708
477,0.044307873,0.07255031
478,0.05725133,0.07425531
479,0.066783145,0.075463735
480,0.0734892,0.076297104
481,0.07807258,0.0768663
482,0.081148334,0.07725729
483,0.083189756,0.07753195
484,0.084539376,0.0777328
485,0.08543521,0.077887654
486,0.0860381,0.07801403
487,0.0864544,0.07812266
488,0.08675288,0.078219995
489,0.08697729,0.0783099
490,0.08715513,0.078394726
491,0.087303504,0.07847588
492,0.087432995,0.07855425
493,0.087550096,0.07863038
494,0.087658815,0.07870463
494,0.087658815,0.07870463
494,0.087658815,0.07870463
494,0.087658815,0.07870463
494,0.087658815,0.07870463
