Cycle,tAD,H2Purity,H2Puritysp
0.0,98.0,95.4063,95.4073
1.0,98.0,95.4073,95.4073
2.0,98.0,95.4073,95.4073
3.0,98.0,95.4073,95.4073
4.0,98.0,95.4073,95.4073
5.0,98.0,95.4073,95.4073
6.0,98.0,95.4073,95.4073
7.0,98.0,95.4073,95.4073
8.0,98.0,95.4073,95.4073
9.0,98.0,95.4073,95.4073
10.0,98.0,95.4073,95.4073
11.0,98.0,95.4073,95.4073
12.0,98.0,95.4073,95.4073
13.0,98.0,95.4073,95.4073
14.0,98.0,95.4073,95.4073
15.0,98.0,95.4073,95.4073
16.0,98.0,95.4073,95.4073
17.0,98.0,95.4073,95.4073
18.0,98.0,95.4073,95.4073
19.0,98.0,95.4073,95.4073
20.0,98.0,95.4073,95.4073
21.0,98.0,95.4073,95.4073
22.0,98.0,95.4073,95.4073
23.0,98.0,95.4073,95.4073
24.0,98.0,95.4073,95.4073
25.0,98.0,95.4073,95.4073
26.0,98.0,95.4073,95.4073
27.0,98.0,95.4073,95.4073
28.0,98.0,95.4073,95.4073
29.0,98.0,95.4073,95.4073
30.0,97.722487782,95.4176,94.0
31.0,101.43960492,95.0561,94.0
32.0,102.72297705,94.8742,94.0
33.0,104.47756666,94.675,94.0
34.0,105.52926581,94.5412,94.0
35.0,106.50524585,94.4253,94.0
36.0,107.2082504,94.3384,94.0
37.0,107.79083944,94.2674,94.0
38.0,108.23503927,94.2122,94.0
39.0,108.23503927,94.2022,94.0
40.0,108.56262516,94.1673,94.0
41.0,108.84506529,94.1331,94.0
42.0,109.05569869,94.1058,94.0
43.0,109.22303316,94.0837,94.0
44.0,109.34951698,94.0664,94.0
45.0,109.44676554,94.0527,94.0
46.0,109.51964659,94.0418,94.0
47.0,109.57354958,94.0333,94.0
48.0,109.61266175,94.0266,94.0
49.0,109.64006613,94.0213,94.0
50.0,109.65819266,94.0171,94.0
51.0,109.65819266,94.0148,94.0
52.0,109.66291169,94.0124,94.0
53.0,109.66291169,94.0104,94.0
54.0,109.66138141,94.0087,94.0
55.0,109.65794332,94.0072,94.0
56.0,109.65794332,94.0054,94.0
57.0,109.64651589,94.0047,94.0
58.0,109.64651589,94.0031,94.0
59.0,109.63223208,94.0027,94.0
60.0,109.63223208,94.0008,94.0
61.0,109.63223208,93.9988,94.0
62.0,109.60777682,93.999,95.0
63.0,106.94801163,94.254,95.0
64.0,106.01100047,94.3816,95.0
65.0,104.73744894,94.5226,95.0
66.0,103.96257106,94.6177,95.0
67.0,103.24185624,94.7007,95.0
68.0,102.71659756,94.7628,95.0
69.0,102.71659756,94.7708,95.0
70.0,102.29841563,94.811,95.0
71.0,102.29841563,94.8154,95.0
72.0,102.29841563,94.8142,95.0
73.0,101.95144283,94.8459,95.0
74.0,101.95144283,94.849,95.0
75.0,101.66755913,94.8752,95.0
76.0,101.42748411,94.9008,95.0
77.0,101.23728816,94.9216,95.0
78.0,101.23728816,94.9234,95.0
79.0,101.23728816,94.9226,95.0
80.0,101.08462838,94.9362,95.0
81.0,100.95269074,94.9495,95.0
82.0,100.84751615,94.9599,95.0
83.0,100.75903306,94.9686,95.0
84.0,100.75903306,94.9684,95.0
85.0,100.68626287,94.9738,95.0
86.0,100.68626287,94.9731,95.0
87.0,100.61958523,94.9779,95.0
88.0,100.56306916,94.9827,95.0
89.0,100.51519054,94.9865,95.0
90.0,100.47385979,94.9897,95.0
91.0,100.4382993,94.9921,95.0
92.0,100.40678263,94.9941,95.0
93.0,100.37891748,94.9956,95.0
94.0,100.37891748,94.9944,95.0
95.0,100.37891748,94.9927,95.0
96.0,100.34591323,94.9942,97.0
97.0,95.038203475,95.5071,97.0
98.0,93.186082652,95.7659,97.0
99.0,90.666288894,96.0472,97.0
100.0,89.13989274,96.2364,97.0
101.0,87.720783876,96.3994,97.0
102.0,86.685066534,96.5214,97.0
103.0,85.818530199,96.6205,97.0
104.0,85.144691923,96.6978,97.0
105.0,84.597605062,96.7598,97.0
106.0,84.16295012,96.8087,97.0
107.0,83.812251487,96.8484,97.0
108.0,83.532366682,96.8795,97.0
109.0,83.532366682,96.8843,97.0
110.0,83.532366682,96.8862,97.0
111.0,83.32345405,96.9051,97.0
112.0,83.32345405,96.9079,97.0
113.0,83.143583914,96.9241,97.0
114.0,82.99467888,96.9398,97.0
115.0,82.874807795,96.953,97.0
116.0,82.778072505,96.9637,97.0
117.0,82.778072505,96.9653,97.0
118.0,82.704476965,96.9721,97.0
119.0,82.639480682,96.9789,97.0
120.0,82.58897686,96.9843,97.0
121.0,82.58897686,96.985,97.0
122.0,82.548772831,96.9886,97.0
123.0,82.513951378,96.9922,97.0
124.0,82.486415072,96.9951,97.0
125.0,82.486415072,96.9955,97.0
126.0,82.464646613,96.9973,97.0
127.0,82.464646613,96.9975,97.0
128.0,82.445855524,96.9991,97.0
129.0,82.430011795,97.0006,97.0
130.0,82.417005382,97.0019,97.0
131.0,82.406289366,97.0029,97.0
132.0,82.406289366,97.003,97.0
133.0,82.406289366,97.0028,97.0
134.0,82.397010274,97.0035,97.0
135.0,82.388992196,97.0042,97.0
136.0,82.382327176,97.0048,97.0
137.0,82.376702767,97.0052,97.0
138.0,82.371712079,97.0056,97.0
139.0,82.367504159,97.0059,97.0
140.0,82.363785895,97.0062,97.0
141.0,82.360636032,97.0063,97.0
142.0,82.35754352,97.0065,97.0
143.0,82.354930788,97.0066,97.0
144.0,82.352432885,97.0067,97.0
145.0,82.352432885,97.0066,97.0
146.0,82.352432885,97.0065,97.0
147.0,82.352432885,97.0063,97.0
148.0,82.349001005,97.0065,97.0
149.0,82.346550579,97.0066,97.0
150.0,82.343964674,97.0068,97.0
151.0,82.343964674,97.0068,97.0
152.0,82.343964674,97.0067,97.0
153.0,82.343964674,97.0065,97.0
154.0,82.343964674,97.0063,97.0
155.0,82.340632459,97.0068,97.0
156.0,82.338881968,97.0072,97.0
157.0,82.338881968,97.0074,97.0
158.0,82.33808702,97.0076,97.0
159.0,82.33808702,97.0078,97.0
160.0,82.337989981,97.0079,97.0
161.0,82.337873413,97.0081,97.0
162.0,82.338319145,97.0082,97.0
163.0,82.338319145,97.0084,97.0
164.0,82.339276098,97.0085,97.0
165.0,82.34031356,97.0085,97.0
166.0,82.34031356,97.0086,95.0
167.0,87.621401877,96.525,95.0
168.0,89.522996414,96.2677,95.0
169.0,92.065894891,95.9838,95.0
170.0,93.618668785,95.7893,95.0
171.0,95.048966385,95.6205,95.0
172.0,96.086567832,95.4933,95.0
173.0,96.945068114,95.3896,95.0
174.0,97.602629488,95.3096,95.0
175.0,97.602629488,95.2965,95.0
176.0,98.095137994,95.2462,95.0
177.0,98.521379193,95.1963,95.0
178.0,98.521379193,95.1879,95.0
179.0,98.820750555,95.1568,95.0
180.0,99.088770072,95.1252,95.0
181.0,99.286349787,95.1004,95.0
182.0,99.446607663,95.0801,95.0
183.0,99.568419576,95.0634,95.0
184.0,99.661600783,95.0501,95.0
185.0,99.731189441,95.04,95.0
186.0,99.783638563,95.0328,95.0
187.0,99.82404038,95.0274,95.0
188.0,99.82404038,95.0261,95.0
189.0,99.8515694,95.0228,95.0
190.0,99.8515694,95.0219,95.0
191.0,99.873193793,95.0192,95.0
192.0,99.89007813,95.0168,95.0
193.0,99.89007813,95.016,95.0
194.0,99.89007813,95.0147,95.0
195.0,99.897010279,95.0126,95.0
196.0,99.902370996,95.0106,95.0
197.0,99.903103709,95.0088,95.0
198.0,99.903103709,95.007,95.0
199.0,99.896236586,95.0059,95.0
200.0,99.889500502,95.0049,95.0
201.0,99.879967555,95.0043,95.0
202.0,99.879967555,95.0027,97.0
203.0,94.586057838,95.5142,97.0
204.0,92.746952431,95.7718,97.0
205.0,90.237388521,96.0521,97.0
206.0,88.719695553,96.2404,97.0
207.0,87.307531136,96.403,97.0
208.0,86.278413635,96.5246,97.0
209.0,85.41758738,96.6232,97.0
210.0,85.41758738,96.6387,97.0
211.0,84.78939549,96.6985,97.0
212.0,84.225822398,96.7592,97.0
213.0,83.795821998,96.8075,97.0
214.0,83.440476441,96.8471,97.0
215.0,83.158889618,96.8787,97.0
216.0,82.931000829,96.904,97.0
217.0,82.748314582,96.9243,97.0
218.0,82.601036768,96.9408,97.0
219.0,82.483036296,96.954,97.0
220.0,82.388066812,96.9645,97.0
221.0,82.388066812,96.9657,97.0
222.0,82.388066812,96.9652,97.0
223.0,82.388066812,96.9645,97.0
224.0,82.388066812,96.9636,97.0
225.0,82.388066812,96.9629,97.0
226.0,82.307356543,96.9694,97.0
227.0,82.237999744,96.976,97.0
228.0,82.181568233,96.9814,97.0
229.0,82.134147278,96.9859,97.0
230.0,82.09495544,96.9895,97.0
231.0,82.061970064,96.9923,97.0
232.0,82.033865604,96.9946,97.0
233.0,82.033865604,96.9944,93.0
234.0,92.569045832,96.0099,93.0
235.0,96.29822503,95.4908,93.0
236.0,101.31673182,94.9214,93.0
237.0,104.3485136,94.5372,93.0
238.0,107.15051098,94.2054,93.0
239.0,109.17643495,93.9577,93.0
240.0,110.85804714,93.7571,93.0
241.0,112.15031966,93.6012,93.0
242.0,113.18741889,93.4771,93.0
243.0,113.99992522,93.3794,93.0
244.0,114.64493589,93.3015,93.0
245.0,114.64493589,93.2884,93.0
246.0,115.11726872,93.2398,93.0
247.0,115.53069987,93.1917,93.0
248.0,115.84129304,93.1536,93.0
249.0,116.0924676,93.1225,93.0
250.0,116.0924676,93.1165,93.0
251.0,116.26973871,93.0971,93.0
252.0,116.4254342,93.0775,93.0
253.0,116.53827076,93.0621,93.0
254.0,116.53827076,93.058,93.0
255.0,116.61678794,93.0483,93.0
256.0,116.61678794,93.0451,93.0
